MIMAT0000065,MIMAT0000067,MIMAT0000101,MIMAT0000231,MIMAT0000425,MIMAT0000681,MIMAT0000691,MIMAT0000703,MIMAT0000762,MIMAT0002174,MIMAT0002835,MIMAT0004597,MIMAT0015072,target
3.923084616,-0.152745195,5.115483071,4.773497342,5.080860806,2.650523868,4.597807896,4.129117219,3.306268419,3.830596258,5.442110353,-0.152745195,4.214324812,1
2.193073464,3.169063484,6.506767791,2.868507701,5.924611371,2.002198877,2.352027318,-1.240935745,-1.240935745,5.946780956,-0.415441806,3.724540193,5.348603976,1
3.724792436,3.2211602,2.289642507,4.429985354,4.364005294,1.78136046,4.167111148,0.787327918,5.094150727,5.022498472,2.363950279,2.605844693,2.049930455,1
5.464835741,2.489050276,0.530398736,5.588014281,0.530398736,4.376147194,5.729586764,0.530398736,4.685231019,5.799109897,0.530398736,0.530398736,5.971541388,1
4.977866734,6.203541427,0.853141306,4.110857003,5.994258241,0.853141306,5.721106115,1.632941717,3.892675129,6.224425659,0.853141306,0.853141306,4.277143394,1
1.682941934,1.682941934,1.682941934,6.874588277,5.937330382,4.719114668,1.682941934,1.682941934,1.682941934,7.131796645,1.682941934,1.682941934,1.682941934,1
5.744840096,0.581152049,6.917629212,6.280125392,5.821871014,4.682567932,0.866700257,2.951532113,4.406294866,6.487132819,5.015132559,6.10212246,5.258928247,1
4.776691383,5.274191023,6.815515101,5.131825748,4.899001296,4.90056934,5.072460898,-1.104550309,4.819557378,6.117277274,3.621034266,4.885300294,5.07329073,1
5.155604619,5.566053858,7.821113381,5.102021956,5.965120377,4.058360709,4.2639478,1.905825054,3.192883361,6.592654896,-0.700269291,4.536632799,5.254316068,1
1.131033007,4.450139968,3.735385759,3.579611425,4.441942531,3.720384385,-1.183979947,3.019197515,3.568860473,5.764533684,-1.64686814,3.852013236,5.746758349,1
1.061122702,0.738960202,3.143693041,4.001324628,4.954127226,2.345936735,4.593339588,-1.359082552,2.998850954,5.409538508,-1.359082552,1.472000515,4.985328796,1
3.795997913,0.848658088,3.183727498,2.948643756,3.161137918,2.794255727,-1.025850375,-1.025850375,2.682195196,3.981501978,-1.025850375,-1.025850375,3.678327549,1
3.275915152,4.032150024,7.096792602,6.54867774,5.180395816,4.926617886,2.491041205,-0.032418296,4.728935689,6.337354591,-0.032418296,1.00913427,3.071371658,1
3.60730755,2.135662871,3.756247127,4.990693126,2.629381048,-1.269988282,3.616903883,-1.269988282,1.854007818,5.157662024,-1.269988282,-1.269988282,3.404683839,1
0.048764247,0.048764247,4.457559198,2.955416938,3.966419725,4.406974345,3.28394496,7.480090291,0.048764247,6.250054512,6.308409664,4.397690883,3.932946328,1
4.836019491,-0.206669492,4.628849399,-0.206669492,5.185976965,-0.206669492,5.841814549,4.513755096,4.055229848,5.529018391,5.728879832,7.263071378,6.903459228,1
